countyID,LKType,LKName,probText
8215,LK,Karlsruhe,100.0
8212,SK,Karlsruhe,100.0
6633,LK,Kassel,100.0
6611,SK,Kassel,100.0
9762,SK,Kaufbeuren,99.6
9273,LK,Kelheim,100.0
9763,SK,Kempten,98.5
1002,SK,Kiel,100.0
9675,LK,Kitzingen,99.9
5154,LK,Kleve,100.0
7111,SK,Koblenz,100.0
5315,SK,Köln,100.0
8335,LK,Konstanz,100.0
5114,SK,Krefeld,100.0
9476,LK,Kronach,100.0
9477,LK,Kulmbach,100.0
7336,LK,Kusel,99.8
16065,LK,Kyffhäuserkreis,98.5
6532,LK,Lahn-Dill-Kreis,100.0
7313,SK,Landau i.d.Pfalz,99.8
9181,LK,Landsberg a.Lech,100.0
9261,SK,Landshut,100.0
9274,LK,Landshut,100.0
3457,LK,Leer,99.9
14729,LK,Leipzig,100.0
14713,SK,Leipzig,100.0
5316,SK,Leverkusen,100.0
9478,LK,Lichtenfels,100.0
6533,LK,Limburg-Weilburg,100.0
9776,LK,Lindau,100.0
5766,LK,Lippe,100.0
8336,LK,Lörrach,100.0
1003,SK,Lübeck,100.0
3354,LK,Lüchow-Dannenberg,100.0
8118,LK,Ludwigsburg,100.0
7314,SK,Ludwigshafen,100.0
13076,LK,Ludwigslust/Parchim,-64.0
3355,LK,Lüneburg,100.0
15003,SK,Magdeburg,100.0
6435,LK,Main-Kinzig-Kreis,100.0
9677,LK,Main-Spessart,100.0
8128,LK,Main-Tauber-Kreis,96.8
6436,LK,Main-Taunus-Kreis,100.0
7315,SK,Mainz,100.0
7339,LK,Mainz-Bingen,100.0
8222,SK,Mannheim,100.0
15087,LK,Mansfeld-Südharz,100.0
6534,LK,Marburg-Biedenkopf,100.0
12064,LK,Märkisch-Oderland,100.0
5962,LK,Märkischer Kreis,99.7
7137,LK,Mayen-Koblenz,100.0
13071,LK,Mecklenburgische Seenplatte,100.0
14627,LK,Meißen,100.0
9764,SK,Memmingen,100.0
10042,LK,Merzig-Wadern,96.5
5158,LK,Mettmann,100.0
9182,LK,Miesbach,100.0
9676,LK,Miltenberg,100.0
5770,LK,Minden-Lübbecke,100.0
14522,LK,Mittelsachsen,100.0
5116,SK,Mönchengladbach,100.0
9183,LK,Mühldorf a.Inn,100.0
5117,SK,Mülheim a.d.Ruhr,100.0
9162,SK,München,100.0
9184,LK,München,100.0
5515,SK,Münster,100.0
